Category,Dictonary_Name,Parameter,Name,amount,unit,uncertainty_type,loc,scale,shape,minimum,maximum,Reference,Comment
PFAS Concentration,IncPFAS,Summed PFAS,Incoming Summed PFAS concentration,2.11,log L/gm OC,,,,,,,,
PFAS Concentration,IncPFAS,PFOA,Incoming PFOA concentration,2.11,log L/gm OC,,,,,,,,
PFAS Concentration,IncPFAS,PFOS,Incoming PFOS concentration,2.5,log L/gm OC,,,,,,,,
PFAS Concentration,IncPFAS,PFAS#4,Incoming PFAS#4 concentration,2.92,log L/gm OC,,,,,,,,
PFAS Concentration,IncPFAS,PFAS#5,Incoming PFAS#5 concentration,3.47,log L/gm OC,,,,,,,,
PFAS Concentration,IncPFAS,PFAS#6,Incoming PFAS#6 concentration,2.68,log L/gm OC,,,,,,,,
PFAS Concentration,IncPFAS,PFAS#7,Incoming PFAS#7 concentration,3.66,log L/gm OC,,,,,,,,
PFAS Concentration,IncPFAS,PFAS#8,Incoming PFAS#8 concentration,3.35,log L/gm OC,,,,,,,,
PFAS Concentration,IncPFAS,PFAS#9,Incoming PFAS#9 concentration,3.49,log L/gm OC,,,,,,,,
PFAS Concentration,IncPFAS,PFAS#10,Incoming PFAS#10 concentration,3.49,log L/gm OC,,,,,,,,
